open,high,low,close,volume,marketCap,timestamp
2.831619978,3.5366098881,2.5211200714,2.7721199989,164329,166610555.018,"2015-08-07T23:59:59.999Z"
0.7139890194,0.7298539877,0.6365460157,0.7084479928,405283,42818364.3945,"2015-08-10T23:59:59.999Z"
1.8109200001,2.261879921,1.7547500134,1.8278700113,4637030,110672321.811,"2015-08-14T23:59:59.999Z"
1.215299964,1.3311599493,1.0870499611,1.0870499611,1485680,78868413.078,"2015-08-18T23:59:59.999Z"
1.3962899446,1.4764100313,1.3526799679,1.3792300224,948310,100201825.662,"2015-08-22T23:59:59.999Z"
1.1327899694,1.2024799585,1.0618300438,1.1599800587,1056750,84390923.5384,"2015-08-26T23:59:59.999Z"
1.1829899549,1.3679900169,1.170609951,1.3192700148,1337650,96097349.1063,"2015-08-30T23:59:59.999Z"
1.3515700102,1.3549100161,1.2646199465,1.2947900295,883769,94389544.2517,"2015-09-02T23:59:59.999Z"
1.3380099535,1.3736399412,1.2942500114,1.2958300114,491968,94580163.7911,"2015-09-06T23:59:59.999Z"
1.2076100111,1.221570015,1.1361500025,1.1657700539,662782,85202731.6627,"2015-09-10T23:59:59.999Z"
0.9405660033,0.9493870139,0.8717600107,0.8756219745,741085,64084134.617,"2015-09-14T23:59:59.999Z"
0.8745740056,0.888101995,0.8339080215,0.8536850214,484622,62561883.0773,"2015-09-18T23:59:59.999Z"
0.9193369746,0.9193369746,0.8652250171,0.9017959833,487914,66180153.1012,"2015-09-22T23:59:59.999Z"
0.7376300097,0.7875440121,0.7093279958,0.7859640121,369620,57759115.3858,"2015-09-26T23:59:59.999Z"
0.57941401,0.6758300066,0.5583459735,0.6611459851,913992,48633258.7786,"2015-09-29T23:59:59.999Z"
0.6787829995,0.7092040181,0.6754819751,0.6871709824,163326,50616971.5371,"2015-10-03T23:59:59.999Z"
0.6505150199,0.6563010216,0.6024230123,0.6093879938,218327,44947526.8207,"2015-10-07T23:59:59.999Z"
0.6274610162,0.6395059824,0.6183350086,0.634962976,102128,46897253.1371,"2015-10-11T23:59:59.999Z"
0.523277998,0.5727139711,0.5147299767,0.5618780255,371022,41556025.1831,"2015-10-15T23:59:59.999Z"
0.5176209807,0.5215460062,0.4809939861,0.4890139997,243742,36215624.0027,"2015-10-19T23:59:59.999Z"
0.4449880123,0.6194660068,0.4209910035,0.5677019954,924822,42085191.5066,"2015-10-22T23:59:59.999Z"
0.6197429895,0.7575169802,0.5970979929,0.7313169837,1089120,54289124.0613,"2015-10-26T23:59:59.999Z"
1.2092000246,1.3450499773,0.9681599736,1.0412199497,2429200,77401817.2165,"2015-10-30T23:59:59.999Z"
0.9945679903,1.0704400539,0.9366149902,1.0133600235,1907690,75434113.5622,"2015-11-03T23:59:59.999Z"
0.9237319827,0.9437869787,0.8635389805,0.9279739857,890187,69172170.7158,"2015-11-07T23:59:59.999Z"
0.9412959814,0.9452779889,0.7297750115,0.79182899,1278580,59103443.2691,"2015-11-11T23:59:59.999Z"
0.8912169933,0.9215160012,0.8749570251,0.9063680172,411848,67745801.3686,"2015-11-15T23:59:59.999Z"
0.9932140112,1.0115699768,0.940515995,0.993318975,681104,74320768.7669,"2015-11-18T23:59:59.999Z"
0.979764998,0.9841319919,0.9589819908,0.9680179954,372173,72523507.316,"2015-11-22T23:59:59.999Z"
0.8632730246,0.903643012,0.8043599725,0.8841829896,947473,66330891.8546,"2015-11-26T23:59:59.999Z"
0.8799510002,0.8950539827,0.8476960063,0.8731189966,784439,65589555.3727,"2015-11-30T23:59:59.999Z"
0.8120819926,0.8595749736,0.802372992,0.8400409818,241278,63189182.3029,"2015-12-04T23:59:59.999Z"
0.8060240149,0.8236449957,0.7823280096,0.8221179843,445903,61922409.1097,"2015-12-08T23:59:59.999Z"
0.8399950266,0.9297620058,0.8197889924,0.9297620058,801072,70101842.4308,"2015-12-11T23:59:59.999Z"
0.9905890226,1.0288399458,0.9822400212,1.0141500235,578618,76568082.1105,"2015-12-15T23:59:59.999Z"
0.9215239882,0.9258739948,0.8889160156,0.9080719948,343535,68650438.889,"2015-12-19T23:59:59.999Z"
0.8617820144,0.8829399943,0.8560649753,0.8580769897,334993,64957356.0518,"2015-12-23T23:59:59.999Z"
0.8531659842,0.861537993,0.8411509991,0.856365025,164565,64913918.9664,"2015-12-27T23:59:59.999Z"
0.9120979905,0.9754139781,0.910277009,0.9335420132,663994,70858022.7546,"2015-12-31T23:59:59.999Z"
0.9720450044,0.9764379859,0.9298350215,0.9544799924,346245,72543706.6191,"2016-01-04T23:59:59.999Z"
0.9558010101,0.9746230245,0.9358299971,0.9420049787,647462,71667152.1174,"2016-01-07T23:59:59.999Z"
0.9992160201,1.0699100494,0.9992160201,1.0615999699,1011920,80874514.4822,"2016-01-11T23:59:59.999Z"
1.1844400167,1.3193800449,1.1429300308,1.2080099583,3910550,92149709.3458,"2016-01-15T23:59:59.999Z"
1.4226100445,1.46468997,1.3050099611,1.3713899851,2446740,104750745.916,"2016-01-19T23:59:59.999Z"
1.5041199923,2.0301198959,1.4960500002,1.9726699591,7370980,150874911.801,"2016-01-23T23:59:59.999Z"
2.2474400997,2.5949399471,2.1886498928,2.3885500431,6961080,182923579.832,"2016-01-27T23:59:59.999Z"
