open,high,low,close,volume,marketCap,timestamp
1.33465e-9,3.27651e-9,4.3201e-10,1.00557e-9,1604788.58049698,0,"2020-08-01T23:59:59.999Z"
1.00868e-9,1.0733e-9,3.5642e-10,5.0993e-10,193097.500414133,0,"2020-08-02T23:59:59.999Z"
4.9946e-10,5.1452e-10,1.4275e-10,1.452e-10,129225.202851416,0,"2020-08-03T23:59:59.999Z"
1.6147e-10,3.3012e-10,1.4663e-10,3.0939e-10,26868.8390953777,0,"2020-08-05T23:59:59.999Z"
3.0939e-10,3.1146e-10,2.298e-10,2.3289e-10,8707.7324411026,0,"2020-08-06T23:59:59.999Z"
2.3293e-10,3.2718e-10,2.2259e-10,2.299e-10,17528.5883437114,0,"2020-08-07T23:59:59.999Z"
2.6194e-10,2.7622e-10,2.3324e-10,2.3709e-10,5189.7862736396,0,"2020-08-09T23:59:59.999Z"
2.3709e-10,2.3963e-10,1.712e-10,1.8897e-10,6104.9884077409,0,"2020-08-10T23:59:59.999Z"
1.8894e-10,1.9498e-10,1.6543e-10,1.7286e-10,2895.7560448081,0,"2020-08-11T23:59:59.999Z"
1.5034e-10,1.6206e-10,1.3713e-10,1.5704e-10,1723.2803712338,0,"2020-08-13T23:59:59.999Z"
1.5705e-10,1.8785e-10,1.5186e-10,1.83e-10,3567.1538139516,0,"2020-08-14T23:59:59.999Z"
1.8322e-10,1.8667e-10,1.6823e-10,1.6914e-10,1478.9875782224,0,"2020-08-15T23:59:59.999Z"
1.7095e-10,1.7106e-10,1.5962e-10,1.6305e-10,542.7184391857,0,"2020-08-17T23:59:59.999Z"
1.6318e-10,1.654e-10,1.5644e-10,1.5909e-10,153.4553945099,0,"2020-08-18T23:59:59.999Z"
1.5942e-10,1.7769e-10,1.4105e-10,1.7569e-10,3410.6775939656,0,"2020-08-19T23:59:59.999Z"
1.9977e-10,2.036e-10,1.1691e-10,1.1736e-10,4893.7437881819,0,"2020-08-21T23:59:59.999Z"
1.174e-10,1.2311e-10,9.162e-11,1.1657e-10,8019.4864755531,0,"2020-08-22T23:59:59.999Z"
1.1248e-10,1.1778e-10,1.1139e-10,1.1698e-10,31.9097179654,0,"2020-08-24T23:59:59.999Z"
1.17e-10,1.2019e-10,1.0566e-10,1.0841e-10,377.2238275865,0,"2020-08-25T23:59:59.999Z"
1.0841e-10,1.0943e-10,9.999e-11,1.0147e-10,595.0207137994,0,"2020-08-26T23:59:59.999Z"
8.287e-11,1.2223e-10,8.275e-11,1.2223e-10,7425.5312069366,0,"2020-08-28T23:59:59.999Z"
1.2222e-10,1.375e-10,1.072e-10,1.3675e-10,4190.9172190902,0,"2020-08-29T23:59:59.999Z"
1.0137e-10,1.025e-10,8.165e-11,8.292e-11,0,0,"2020-08-30T23:59:59.999Z"
1.0137e-10,1.025e-10,8.165e-11,8.292e-11,0,0,"2020-09-01T23:59:59.999Z"
2.8e-10,4.7985e-10,2.7341e-10,4.7019e-10,61768.6889716882,0,"2020-09-02T23:59:59.999Z"
4.7251e-10,6.3249e-10,3.1832e-10,5.3916e-10,70619.0567841903,0,"2020-09-03T23:59:59.999Z"
